uid;latitude;longitude
869170034086034;53.390659;-6.2017
869170034045121;53.391046;-6.168369
869170034052879;53.369354;-6.25859
869170034063280;53.387039;-6.258155
869170033897597;53.321163;-6.361607
869170033930653;53.320382;-6.362783
869170033930620;53.389831;-6.304962
869170033931073;53.390743;-6.264541
869170033930711;53.34409;-6.272385
869170034081928;53.344617;-6.254761
869170033895328;53.403294;-6.348601
869170033930703;53.315343;-6.339138
869170033930760;53.336229;-6.309184
869170033935751;53.321945;-6.267489
869170033930471;53.31871;-6.321327
869170034050733;53.405084;-6.221096
869170034044686;53.406274;-6.231397
869170033930810;53.291359;-6.20485
869170033930547;53.306345;-6.197589
869170031805741;53.310357;-6.237772
869170033930687;53.237777;-6.112175
869170033895286;53.605989;-6.187086
869170034050550;53.320393;-6.307228
